Gene	CGC	Publications	Cancer type frequency per number of publications
AFDN	No	4	"Liver Cancer":50%;"Pancreatic Cancer":25%;"Colorectal Cancer":25%;
ALCAM	No	5	"Liver Cancer":40%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;"Blood Cancer":20%;
ALKBH5	No	6	"Liver Cancer":33%;"Blood Cancer":16%;Sarcoma:16%;"Colorectal Cancer":33%;
AMD1	No	7	"Liver Cancer":28%;"Blood Cancer":14%;"Colorectal Cancer":28%;"Pancreatic Cancer":14%;"Nervous System Cancer":14%;
ANKRD50	No	4	"Liver Cancer":25%;"Pancreatic Cancer":50%;"Nervous System Cancer":25%;
ARHGAP12	No	5	"Liver Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;"Nervous System Cancer":20%;"Breast Cancer":20%;
ARID4A	No	6	"Liver Cancer":33%;"Colorectal Cancer":16%;"Nervous System Cancer":33%;"Blood Cancer":16%;
ASAP1	No	6	"Liver Cancer":16%;"Blood Cancer":33%;"Pancreatic Cancer":16%;"Skin Cancer":16%;"Gastric Cancer":16%;
ATF2	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Pancreatic Cancer":16%;"Nervous System Cancer":16%;"Colorectal Cancer":16%;
ATP9B	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Pancreatic Cancer":20%;"Gastric Cancer":20%;
ATXN7	No	5	"Liver Cancer":40%;"Pancreatic Cancer":40%;"Nervous System Cancer":20%;
B4GALT6	No	5	"Liver Cancer":20%;"Colorectal Cancer":40%;"Pancreatic Cancer":40%;
BAIAP2	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Breast Cancer":16%;"Gastric Cancer":16%;"Nervous System Cancer":16%;
BAIAP2L1	No	5	"Liver Cancer":40%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;
C6orf62	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":33%;"Nervous System Cancer":16%;
BCL2L1	No	5	"Liver Cancer":40%;"Blood Cancer":40%;"Pancreatic Cancer":20%;
BRD8	No	5	"Blood Cancer":20%;"Colorectal Cancer":80%;
CACUL1	No	6	"Liver Cancer":33%;"Lung Cancer":16%;"Blood Cancer":16%;"Colorectal Cancer":33%;
CCDC47	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":33%;"Nervous System Cancer":16%;
CD47	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Nervous System Cancer":20%;"Colorectal Cancer":20%;"Gastric Cancer":20%;
CFTR	No	5	"Nervous System Cancer":20%;"Colorectal Cancer":80%;
CGNL1	No	5	"Liver Cancer":40%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;"Blood Cancer":20%;
CHD4	Yes	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":16%;"Nervous System Cancer":33%;
CERT1	No	6	"Liver Cancer":33%;"Lung Cancer":16%;"Blood Cancer":16%;"Skin Cancer":16%;"Gastric Cancer":16%;
CREB3L2	Yes	5	"Liver Cancer":20%;"Pancreatic Cancer":20%;"Nervous System Cancer":20%;"Breast Cancer":20%;"Gastric Cancer":20%;
CS	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":50%;
CSMD1	No	5	Mixed:20%;"Liver Cancer":20%;"Skin Cancer":20%;"Nervous System Cancer":20%;"Gastric Cancer":20%;
CSNK1G1	No	5	"Liver Cancer":20%;"Blood Cancer":40%;"Pancreatic Cancer":20%;"Colorectal Cancer":20%;
CTNNB1	Yes	5	"Liver Cancer":40%;"Colorectal Cancer":20%;"Pancreatic Cancer":40%;
CUL4A	No	6	"Liver Cancer":50%;"Blood Cancer":16%;"Colorectal Cancer":16%;"Pancreatic Cancer":16%;
CXXC5	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;
DAP3	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":33%;"Gastric Cancer":16%;
DDB1	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":33%;"Pancreatic Cancer":16%;
DDHD1	No	4	"Liver Cancer":25%;"Colorectal Cancer":50%;"Pancreatic Cancer":25%;
DDX39B	No	6	"Liver Cancer":33%;"Colorectal Cancer":33%;"Pancreatic Cancer":16%;"Blood Cancer":16%;
DDX3X	Yes	6	"Liver Cancer":33%;"Pancreatic Cancer":16%;"Skin Cancer":16%;"Nervous System Cancer":16%;"Blood Cancer":16%;
DGCR2	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":50%;
DICER1	Yes	5	"Liver Cancer":20%;"Colorectal Cancer":20%;"Nervous System Cancer":20%;"Breast Cancer":20%;"Gastric Cancer":20%;
DIP2C	No	4	"Colorectal Cancer":25%;"Pancreatic Cancer":25%;"Skin Cancer":25%;"Nervous System Cancer":25%;
DOCK1	No	4	"Pancreatic Cancer":50%;"Skin Cancer":25%;"Nervous System Cancer":25%;
EED	Yes	6	"Liver Cancer":16%;"Blood Cancer":50%;"Colorectal Cancer":33%;
EIF4G3	No	6	"Liver Cancer":16%;"Blood Cancer":16%;"Colorectal Cancer":33%;"Gastric Cancer":16%;"Nervous System Cancer":16%;
ELOA	No	5	"Liver Cancer":20%;"Blood Cancer":40%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;
EPB41	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":50%;
EPS8	No	5	"Blood Cancer":20%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;"Gastric Cancer":20%;
ESYT2	No	5	"Blood Cancer":20%;"Pancreatic Cancer":20%;"Breast Cancer":20%;"Colorectal Cancer":20%;"Gastric Cancer":20%;
EXT1	Yes	6	"Liver Cancer":50%;"Nervous System Cancer":16%;"Pancreatic Cancer":16%;"Gastric Cancer":16%;
EZH2	Yes	6	"Blood Cancer":50%;"Colorectal Cancer":33%;"Skin Cancer":16%;
FADS2	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":50%;
FAM49B	No	5	"Blood Cancer":20%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;"Gastric Cancer":20%;
FBXO42	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;
FGFR2	Yes	5	"Liver Cancer":20%;"Breast Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;"Gastric Cancer":20%;
FOXK1	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;
FOXP4	No	6	"Liver Cancer":16%;"Blood Cancer":16%;"Pancreatic Cancer":16%;"Colorectal Cancer":50%;
FUBP3	No	6	"Liver Cancer":50%;"Blood Cancer":16%;"Colorectal Cancer":16%;"Gastric Cancer":16%;
G3BP2	No	6	"Liver Cancer":33%;"Colorectal Cancer":50%;"Nervous System Cancer":16%;
GAPVD1	No	6	"Liver Cancer":33%;"Blood Cancer":33%;"Colorectal Cancer":33%;
GATA4	No	5	Mixed:20%;"Colorectal Cancer":60%;"Pancreatic Cancer":20%;
GBF1	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Skin Cancer":16%;"Colorectal Cancer":16%;"Gastric Cancer":16%;
GGACT	No	5	"Liver Cancer":20%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;"Gastric Cancer":20%;
GOLIM4	No	5	"Liver Cancer":40%;"Nervous System Cancer":20%;"Pancreatic Cancer":20%;"Gastric Cancer":20%;
GSPT1	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":40%;
HDAC6	No	6	"Blood Cancer":100%;
HIPK1	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Pancreatic Cancer":20%;"Colorectal Cancer":20%;
HIRA	No	6	"Blood Cancer":16%;"Liver Cancer":16%;"Colorectal Cancer":50%;"Gastric Cancer":16%;
HMGCR	No	6	"Liver Cancer":33%;"Colorectal Cancer":16%;"Nervous System Cancer":33%;"Gastric Cancer":16%;
HNRNPLL	No	5	"Liver Cancer":40%;"Colorectal Cancer":40%;"Nervous System Cancer":20%;
HNRNPR	No	5	"Liver Cancer":20%;"Colorectal Cancer":60%;"Pancreatic Cancer":20%;
HNRNPUL2	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;
IFRD1	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":33%;"Nervous System Cancer":16%;
IP6K1	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Nervous System Cancer":20%;"Breast Cancer":20%;
IP6K2	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":50%;
IQGAP1	No	6	"Blood Cancer":16%;"Colorectal Cancer":50%;"Pancreatic Cancer":16%;"Skin Cancer":16%;
ITGA6	No	6	"Blood Cancer":16%;"Colorectal Cancer":50%;"Breast Cancer":16%;"Gastric Cancer":16%;
ITPRID2	No	4	"Liver Cancer":50%;"Pancreatic Cancer":25%;"Nervous System Cancer":25%;
KAT6B	Yes	5	"Blood Cancer":20%;"Liver Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;"Gastric Cancer":20%;
KDM3B	No	6	"Liver Cancer":16%;"Blood Cancer":16%;"Pancreatic Cancer":16%;"Colorectal Cancer":33%;"Breast Cancer":16%;
KDM5C	Yes	5	"Liver Cancer":40%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;
KLHL9	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;
KTN1	Yes	6	"Liver Cancer":33%;"Breast Cancer":33%;"Nervous System Cancer":16%;"Colorectal Cancer":16%;
LMTK2	No	5	"Blood Cancer":20%;Sarcoma:20%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;
LPCAT3	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Pancreatic Cancer":20%;"Gastric Cancer":20%;
LSM12	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":33%;"Nervous System Cancer":16%;
LURAP1L	No	5	"Liver Cancer":40%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;
MACROH2A1	No	6	"Blood Cancer":33%;"Liver Cancer":16%;"Colorectal Cancer":33%;"Gastric Cancer":16%;
MAML3	No	6	"Colorectal Cancer":33%;"Blood Cancer":16%;"Pancreatic Cancer":16%;"Skin Cancer":16%;"Nervous System Cancer":16%;
MAPKAP1	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":16%;"Pancreatic Cancer":16%;"Gastric Cancer":16%;
MED1	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Pancreatic Cancer":16%;"Colorectal Cancer":33%;
MEMO1	No	4	"Blood Cancer":25%;"Pancreatic Cancer":25%;"Colorectal Cancer":25%;"Nervous System Cancer":25%;
MET	Yes	6	"Liver Cancer":66%;"Nervous System Cancer":16%;"Pancreatic Cancer":16%;
MITF	Yes	5	"Blood Cancer":40%;"Colorectal Cancer":20%;"Skin Cancer":40%;
MLXIP	No	5	"Blood Cancer":20%;"Colorectal Cancer":60%;"Nervous System Cancer":20%;
MOB3B	No	6	"Liver Cancer":33%;"Colorectal Cancer":66%;
MON2	No	6	"Liver Cancer":33%;"Colorectal Cancer":33%;"Pancreatic Cancer":16%;"Gastric Cancer":16%;
MRPL48	No	6	"Liver Cancer":50%;"Blood Cancer":16%;"Colorectal Cancer":33%;
MSI2	Yes	5	"Liver Cancer":20%;"Blood Cancer":20%;"Pancreatic Cancer":20%;"Breast Cancer":20%;"Gastric Cancer":20%;
N4BP2L2	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":16%;Sarcoma:16%;"Skin Cancer":16%;
NAA30	No	4	"Liver Cancer":50%;"Pancreatic Cancer":25%;"Nervous System Cancer":25%;
NEK6	No	6	"Liver Cancer":33%;Mixed:16%;"Blood Cancer":16%;"Colorectal Cancer":33%;
NEXN	No	6	"Blood Cancer":16%;"Liver Cancer":16%;"Colorectal Cancer":50%;"Pancreatic Cancer":16%;
NF2	Yes	3	"Blood Cancer":33%;Sarcoma:33%;"Nervous System Cancer":33%;
NFKBIZ	No	5	"Liver Cancer":20%;"Blood Cancer":40%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;
NHLRC2	No	6	"Liver Cancer":50%;"Blood Cancer":16%;"Colorectal Cancer":16%;"Gastric Cancer":16%;
NONO	Yes	5	"Liver Cancer":40%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;
NPTN	No	5	"Breast Cancer":20%;"Blood Cancer":20%;"Nervous System Cancer":20%;"Colorectal Cancer":40%;
NRAS	Yes	6	"Liver Cancer":33%;"Breast Cancer":16%;"Blood Cancer":33%;"Colorectal Cancer":16%;
NSRP1	No	4	"Liver Cancer":25%;"Blood Cancer":25%;"Colorectal Cancer":25%;"Gastric Cancer":25%;
NT5C2	Yes	5	"Liver Cancer":20%;"Blood Cancer":40%;"Pancreatic Cancer":20%;"Nervous System Cancer":20%;
NUP98	Yes	6	"Liver Cancer":16%;"Blood Cancer":16%;"Colorectal Cancer":50%;"Nervous System Cancer":16%;
OGT	No	6	"Liver Cancer":33%;"Colorectal Cancer":50%;"Nervous System Cancer":16%;
ONECUT2	No	5	"Liver Cancer":40%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;
OTUD5	No	6	"Liver Cancer":16%;"Blood Cancer":66%;"Colorectal Cancer":16%;
PAIP1	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":50%;
PARG	No	6	"Blood Cancer":33%;"Colorectal Cancer":50%;"Gastric Cancer":16%;
PAWR	No	6	"Liver Cancer":50%;"Colorectal Cancer":50%;
PCNP	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":50%;
PDIA4	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":16%;"Nervous System Cancer":33%;
PDZD8	No	4	"Blood Cancer":25%;"Pancreatic Cancer":25%;"Nervous System Cancer":25%;"Breast Cancer":25%;
PELI1	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Nervous System Cancer":20%;
PHF14	No	6	"Liver Cancer":16%;"Blood Cancer":16%;"Pancreatic Cancer":16%;"Nervous System Cancer":16%;"Colorectal Cancer":16%;"Gastric Cancer":16%;
PHF2	No	6	"Liver Cancer":16%;"Blood Cancer":33%;"Colorectal Cancer":16%;"Pancreatic Cancer":16%;"Nervous System Cancer":16%;
PHYKPL	No	6	"Liver Cancer":33%;"Colorectal Cancer":33%;"Pancreatic Cancer":16%;"Nervous System Cancer":16%;
PI4KA	No	6	"Liver Cancer":33%;"Blood Cancer":33%;"Colorectal Cancer":16%;"Pancreatic Cancer":16%;
PIK3CA	Yes	6	"Liver Cancer":33%;"Blood Cancer":16%;"Skin Cancer":16%;"Nervous System Cancer":16%;"Gastric Cancer":16%;
PLAA	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":16%;"Nervous System Cancer":33%;
PNISR	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;"Gastric Cancer":20%;
PPFIA1	No	6	"Liver Cancer":16%;"Blood Cancer":16%;"Colorectal Cancer":33%;"Pancreatic Cancer":16%;"Breast Cancer":16%;
PPP2R1A	Yes	5	"Liver Cancer":60%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;
PPP6C	Yes	6	"Liver Cancer":33%;"Blood Cancer":33%;"Skin Cancer":16%;"Nervous System Cancer":16%;
PRRC2A	No	6	"Liver Cancer":33%;"Blood Cancer":33%;"Colorectal Cancer":33%;
PSEN1	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":33%;"Breast Cancer":16%;
PSMD14	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Nervous System Cancer":16%;"Breast Cancer":16%;"Colorectal Cancer":16%;
PTPRG	No	5	"Liver Cancer":20%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;"Breast Cancer":20%;
PTRH2	No	6	"Liver Cancer":50%;"Blood Cancer":33%;"Colorectal Cancer":16%;
PVT1	No	6	"Blood Cancer":33%;"Liver Cancer":16%;"Nervous System Cancer":16%;"Pancreatic Cancer":16%;"Breast Cancer":16%;
RAB5IF	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;
RASSF3	No	6	"Liver Cancer":33%;"Colorectal Cancer":50%;"Blood Cancer":16%;
RB1	Yes	5	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":20%;Sarcoma:20%;"Pancreatic Cancer":20%;
RBM10	Yes	6	"Liver Cancer":50%;"Colorectal Cancer":50%;
RBM25	No	5	"Liver Cancer":40%;"Colorectal Cancer":40%;"Gastric Cancer":20%;
RBM4	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":33%;"Nervous System Cancer":16%;
RBM4B	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":33%;"Gastric Cancer":16%;
RBPMS	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;
REEP3	No	6	"Blood Cancer":33%;"Colorectal Cancer":16%;Sarcoma:16%;"Skin Cancer":16%;"Liver Cancer":16%;
RESF1	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Pancreatic Cancer":40%;
RGMB	No	5	"Colorectal Cancer":60%;"Nervous System Cancer":20%;"Gastric Cancer":20%;
RIPK4	No	6	"Colorectal Cancer":50%;"Pancreatic Cancer":16%;"Skin Cancer":16%;"Breast Cancer":16%;
RNF11	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":16%;"Breast Cancer":16%;"Gastric Cancer":16%;
RNF121	No	6	"Blood Cancer":16%;"Pancreatic Cancer":33%;"Colorectal Cancer":50%;
SAE1	No	5	"Blood Cancer":20%;"Colorectal Cancer":60%;"Pancreatic Cancer":20%;
SAFB	No	5	"Liver Cancer":60%;"Blood Cancer":20%;"Pancreatic Cancer":20%;
SAMD4A	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Nervous System Cancer":16%;"Colorectal Cancer":16%;Sarcoma:16%;
SCAMP1	No	6	"Liver Cancer":16%;"Colorectal Cancer":16%;"Nervous System Cancer":33%;"Breast Cancer":16%;"Gastric Cancer":16%;
SDCBP	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Pancreatic Cancer":20%;"Nervous System Cancer":20%;"Gastric Cancer":20%;
SEC11A	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":16%;"Pancreatic Cancer":16%;"Breast Cancer":16%;
SGMS1	No	5	"Blood Cancer":20%;"Colorectal Cancer":40%;"Pancreatic Cancer":40%;
SIAH1	No	5	"Liver Cancer":40%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;
SLC9A1	No	5	"Blood Cancer":20%;"Colorectal Cancer":60%;"Pancreatic Cancer":20%;
SLK	No	5	"Blood Cancer":20%;"Liver Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;"Breast Cancer":20%;
SMARCAD1	No	5	"Blood Cancer":20%;Sarcoma:20%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;
SMARCC2	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":33%;"Pancreatic Cancer":16%;
SNRNP70	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":33%;"Skin Cancer":16%;
SNTB2	No	5	"Blood Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;"Skin Cancer":20%;"Gastric Cancer":20%;
SNX13	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Pancreatic Cancer":16%;"Colorectal Cancer":16%;"Gastric Cancer":16%;
SPATA5	No	6	"Breast Cancer":16%;"Blood Cancer":16%;"Colorectal Cancer":33%;"Gastric Cancer":16%;"Nervous System Cancer":16%;
SPOP	Yes	6	"Liver Cancer":33%;"Blood Cancer":16%;"Pancreatic Cancer":16%;"Breast Cancer":16%;"Gastric Cancer":16%;
SPTLC2	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Pancreatic Cancer":20%;"Nervous System Cancer":20%;"Gastric Cancer":20%;
SRRM1	No	6	"Liver Cancer":33%;"Colorectal Cancer":50%;"Pancreatic Cancer":16%;
SRSF11	No	5	"Liver Cancer":40%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;
SRSF3	Yes	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":50%;
ST7L	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":33%;"Gastric Cancer":16%;
STAU1	No	6	"Liver Cancer":33%;"Breast Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":16%;
STIM1	No	6	"Blood Cancer":33%;"Colorectal Cancer":33%;"Pancreatic Cancer":16%;"Gastric Cancer":16%;
STK11	Yes	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":33%;"Pancreatic Cancer":16%;
SUPT5H	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":16%;"Nervous System Cancer":33%;
SUSD6	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":33%;"Gastric Cancer":16%;
SUZ12	Yes	6	"Blood Cancer":33%;"Colorectal Cancer":33%;"Pancreatic Cancer":16%;"Nervous System Cancer":16%;
TASOR2	No	6	"Blood Cancer":16%;"Colorectal Cancer":16%;Sarcoma:16%;"Nervous System Cancer":33%;"Breast Cancer":16%;
TCF4	No	5	"Nervous System Cancer":20%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;"Gastric Cancer":20%;
TENT4B	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":33%;"Nervous System Cancer":16%;
TMED10	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":33%;"Gastric Cancer":16%;
TMPO	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":50%;
TMPRSS6	No	5	"Liver Cancer":40%;"Blood Cancer":60%;
TNRC18	No	6	"Blood Cancer":16%;"Colorectal Cancer":50%;"Pancreatic Cancer":16%;"Skin Cancer":16%;
TOP2B	No	4	"Liver Cancer":25%;"Nervous System Cancer":25%;"Breast Cancer":25%;"Gastric Cancer":25%;
TPD52	No	5	"Colorectal Cancer":40%;"Pancreatic Cancer":20%;"Breast Cancer":20%;"Liver Cancer":20%;
TRAF3	No	5	"Blood Cancer":20%;"Liver Cancer":20%;"Nervous System Cancer":20%;"Breast Cancer":20%;"Gastric Cancer":20%;
TRIM24	Yes	5	"Liver Cancer":40%;Sarcoma:20%;"Nervous System Cancer":20%;"Colorectal Cancer":20%;
TRIT1	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":33%;"Breast Cancer":16%;
TP53	Yes	6	"Colorectal Cancer":50%;"Skin Cancer":16%;"Nervous System Cancer":16%;"Liver Cancer":16%;
TTC3	No	6	"Blood Cancer":33%;"Pancreatic Cancer":16%;"Skin Cancer":16%;"Nervous System Cancer":16%;"Gastric Cancer":16%;
TUT7	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Pancreatic Cancer":20%;
TXLNG	No	6	"Liver Cancer":33%;"Colorectal Cancer":50%;"Gastric Cancer":16%;
UBE2E3	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Nervous System Cancer":20%;"Gastric Cancer":20%;
UBL3	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":16%;"Breast Cancer":16%;"Gastric Cancer":16%;
UBN1	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":16%;"Breast Cancer":16%;"Gastric Cancer":16%;
UBN2	No	6	"Liver Cancer":33%;"Blood Cancer":33%;"Colorectal Cancer":16%;"Skin Cancer":16%;
UBR2	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":40%;
UBR3	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Nervous System Cancer":16%;"Breast Cancer":16%;"Gastric Cancer":16%;
UBXN7	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Pancreatic Cancer":20%;"Gastric Cancer":20%;
USO1	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":16%;"Breast Cancer":16%;"Gastric Cancer":16%;
VAV2	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Pancreatic Cancer":20%;"Colorectal Cancer":20%;
VMP1	No	6	"Liver Cancer":33%;"Blood Cancer":33%;"Colorectal Cancer":16%;"Pancreatic Cancer":16%;
VPS54	No	6	"Lung Cancer":16%;"Blood Cancer":16%;"Liver Cancer":16%;"Nervous System Cancer":16%;"Colorectal Cancer":16%;"Gastric Cancer":16%;
YBX1	No	6	"Liver Cancer":16%;"Blood Cancer":16%;"Colorectal Cancer":50%;"Nervous System Cancer":16%;
YLPM1	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Pancreatic Cancer":20%;"Colorectal Cancer":20%;"Gastric Cancer":20%;
ZBTB44	No	5	"Liver Cancer":40%;"Colorectal Cancer":20%;"Nervous System Cancer":20%;"Breast Cancer":20%;
ZFHX3	Yes	6	"Colorectal Cancer":33%;Sarcoma:16%;"Liver Cancer":16%;"Pancreatic Cancer":33%;
ZNF217	No	6	"Liver Cancer":16%;"Blood Cancer":16%;Sarcoma:16%;"Skin Cancer":16%;"Nervous System Cancer":16%;"Colorectal Cancer":16%;
ZNF280D	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Nervous System Cancer":40%;"Breast Cancer":20%;
ZNF608	No	5	"Blood Cancer":20%;Sarcoma:20%;"Liver Cancer":20%;"Pancreatic Cancer":20%;"Nervous System Cancer":20%;
ZNF652	No	5	"Blood Cancer":20%;"Colorectal Cancer":60%;"Pancreatic Cancer":20%;
ZHX3	No	6	"Liver Cancer":33%;"Blood Cancer":16%;"Colorectal Cancer":16%;Sarcoma:16%;"Breast Cancer":16%;
C4orf19	No	4	"Liver Cancer":25%;"Colorectal Cancer":25%;"Pancreatic Cancer":25%;"Gastric Cancer":25%;
C14orf119	No	5	"Liver Cancer":40%;"Blood Cancer":60%;
C5orf34	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Colorectal Cancer":20%;"Nervous System Cancer":20%;
KIAA2026	No	4	"Liver Cancer":50%;"Blood Cancer":25%;"Nervous System Cancer":25%;
ACAP2	No	4	"Liver Cancer":25%;"Blood Cancer":25%;"Colorectal Cancer":25%;"Nervous System Cancer":25%;
ACO2	No	5	"Liver Cancer":40%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;
ACTN1	No	5	"Blood Cancer":20%;"Colorectal Cancer":40%;"Pancreatic Cancer":20%;"Nervous System Cancer":20%;
AGL	No	5	"Liver Cancer":40%;"Blood Cancer":40%;"Colorectal Cancer":20%;
AGPAT2	No	4	"Liver Cancer":25%;"Blood Cancer":75%;
AGPAT3	No	5	"Liver Cancer":40%;"Blood Cancer":40%;"Colorectal Cancer":20%;
AGPS	No	4	"Blood Cancer":25%;"Pancreatic Cancer":25%;"Colorectal Cancer":25%;"Gastric Cancer":25%;
C6orf132	No	5	"Liver Cancer":20%;"Blood Cancer":20%;"Colorectal Cancer":40%;"Gastric Cancer":20%;
AK3	No	5	"Liver Cancer":40%;"Blood Cancer":20%;"Skin Cancer":20%;"Gastric Cancer":20%;
